GUID,Start Member Coordinates,End Member Coordinates,Profile,Assembly Position
64119c10-0000-79b2-3136-373838373731,"(28800.000, 24000.000, 4798.400)","(28800.000, 30000.000, 4798.400)",UB406*140*46,1053
64119c10-0000-79ae-3136-373838373731,"(28800.000, 18000.000, 4798.400)","(28800.000, 24000.000, 4798.400)",UB406*140*46,1052
64119c10-0000-79aa-3136-373838373731,"(28800.000, 12000.000, 4798.400)","(28800.000, 18000.000, 4798.400)",UB406*140*46,1051
64119c10-0000-79a6-3136-373838373731,"(28800.000, 6000.000, 4798.400)","(28800.000, 12000.000, 4798.400)",UB406*140*46,1050
64119c10-0000-79a2-3136-373838373731,"(21600.000, 24000.000, 4798.400)","(21600.000, 30000.000, 4798.400)",UB406*140*46,1049
64119c10-0000-799e-3136-373838373731,"(21600.000, 18000.000, 4798.400)","(21600.000, 24000.000, 4798.400)",UB406*140*46,1048
64119c10-0000-799a-3136-373838373731,"(21600.000, 12000.000, 4798.400)","(21600.000, 18000.000, 4798.400)",UB406*140*46,1047
64119c10-0000-7996-3136-373838373731,"(21600.000, 6000.000, 4798.400)","(21600.000, 12000.000, 4798.400)",UB406*140*46,1046
64119c10-0000-7992-3136-373838373731,"(14400.000, 24000.000, 4798.400)","(14400.000, 30000.000, 4798.400)",UB406*140*46,1045
64119c10-0000-798e-3136-373838373731,"(14400.000, 18000.000, 4798.400)","(14400.000, 24000.000, 4798.400)",UB406*140*46,1044
64119c10-0000-798a-3136-373838373731,"(14400.000, 12000.000, 4798.400)","(14400.000, 18000.000, 4798.400)",UB406*140*46,1043
64119c10-0000-7986-3136-373838373731,"(14400.000, 6000.000, 4798.400)","(14400.000, 12000.000, 4798.400)",UB406*140*46,1042
64119c10-0000-7982-3136-373838373731,"(7200.000, 24000.000, 4798.400)","(7200.000, 30000.000, 4798.400)",UB406*140*46,1041
64119c10-0000-797e-3136-373838373731,"(7200.000, 18000.000, 4798.400)","(7200.000, 24000.000, 4798.400)",UB406*140*46,1040
64119c10-0000-797a-3136-373838373731,"(7200.000, 12000.000, 4798.400)","(7200.000, 18000.000, 4798.400)",UB406*140*46,1039
64119c10-0000-7976-3136-373838373730,"(21600.000, 12000.000, 4798.400)","(28800.000, 12000.000, 4798.400)",UB406*140*46,1038
64119c10-0000-7972-3136-373838373730,"(14400.000, 12000.000, 4798.400)","(21600.000, 12000.000, 4798.400)",UB406*140*46,1037
64119c10-0000-796e-3136-373838373730,"(7200.000, 12000.000, 4798.400)","(14400.000, 12000.000, 4798.400)",UB406*140*46,1036
64119c10-0000-796a-3136-373838373730,"(21600.000, 18000.000, 4798.400)","(28800.000, 18000.000, 4798.400)",UB406*140*46,1035
64119c10-0000-7966-3136-373838373730,"(14400.000, 18000.000, 4798.400)","(21600.000, 18000.000, 4798.400)",UB406*140*46,1034
64119c10-0000-7962-3136-373838373730,"(7200.000, 18000.000, 4798.400)","(14400.000, 18000.000, 4798.400)",UB406*140*46,1033
64119c10-0000-795e-3136-373838373639,"(21600.000, 24000.000, 4798.400)","(28800.000, 24000.000, 4798.400)",UB406*140*46,1032
64119c10-0000-795a-3136-373838373639,"(14400.000, 24000.000, 4798.400)","(21600.000, 24000.000, 4798.400)",UB406*140*46,1031
64119c10-0000-7956-3136-373838373639,"(7200.000, 24000.000, 4798.400)","(14400.000, 24000.000, 4798.400)",UB406*140*46,1030
64119c10-0000-7953-3136-373838373538,"(10800.000, 12000.000, 4798.400)","(14400.000, 6000.000, 4798.400)",UB406*140*46,1029
64119c10-0000-794f-3136-373838373538,"(7200.000, 6000.000, 4798.400)","(10800.000, 12000.000, 4798.400)",UB406*140*46,1028
64119c10-0000-7942-3136-373838373538,"(21600.000, 30000.000, 4798.400)","(28800.000, 30000.000, 4798.400)",UB406*140*46,1027
64119c10-0000-793e-3136-373838373538,"(14400.000, 30000.000, 4798.400)","(21600.000, 30000.000, 4798.400)",UB406*140*46,1026
64119c10-0000-793a-3136-373838373538,"(7200.000, 30000.000, 4798.400)","(14400.000, 30000.000, 4798.400)",UB406*140*46,1025
64119c10-0000-7913-3136-373838373537,"(21600.000, 6000.000, 4798.400)","(28800.000, 6000.000, 4798.400)",UB406*140*46,1024
64119c10-0000-790f-3136-373838373537,"(14400.000, 6000.000, 4798.400)","(21600.000, 6000.000, 4798.400)",UB406*140*46,1023
64119c10-0000-790b-3136-373838373537,"(7200.000, 6000.000, 4798.400)","(14400.000, 6000.000, 4798.400)",UB406*140*46,1022
64119c10-0000-78cb-3136-373838373537,"(7200.000, 6000.000, 4798.400)","(7200.000, 12000.000, 4798.400)",UB406*140*46,1021
64119c10-0000-78c6-3136-373838373537,"(28800.000, 30000.000, 0.000)","(28800.000, 30000.000, 5000.000)",UC254*254*73,1020
64119c10-0000-78c2-3136-373838373537,"(21600.000, 30000.000, 0.000)","(21600.000, 30000.000, 5000.000)",UC254*254*73,1019
64119c10-0000-78be-3136-373838373537,"(14400.000, 30000.000, 0.000)","(14400.000, 30000.000, 5000.000)",UC254*254*73,1018
64119c10-0000-78ba-3136-373838373537,"(7200.000, 30000.000, 0.000)","(7200.000, 30000.000, 5000.000)",UC254*254*73,1017
64119c10-0000-78b6-3136-373838373537,"(28800.000, 24000.000, 0.000)","(28800.000, 24000.000, 5000.000)",UC254*254*73,1016
64119c10-0000-78b2-3136-373838373537,"(21600.000, 24000.000, 0.000)","(21600.000, 24000.000, 5000.000)",UC254*254*73,1015
64119c10-0000-78ae-3136-373838373537,"(14400.000, 24000.000, 0.000)","(14400.000, 24000.000, 5000.000)",UC254*254*73,1014
64119c10-0000-78aa-3136-373838373537,"(7200.000, 24000.000, 0.000)","(7200.000, 24000.000, 5000.000)",UC254*254*73,1013
64119c10-0000-78a6-3136-373838373537,"(28800.000, 18000.000, 0.000)","(28800.000, 18000.000, 5000.000)",UC254*254*73,1012
64119c10-0000-78a2-3136-373838373537,"(21600.000, 18000.000, 0.000)","(21600.000, 18000.000, 5000.000)",UC254*254*73,1011
64119c10-0000-789e-3136-373838373537,"(14400.000, 18000.000, 0.000)","(14400.000, 18000.000, 5000.000)",UC254*254*73,1010
64119c10-0000-789a-3136-373838373537,"(7200.000, 18000.000, 0.000)","(7200.000, 18000.000, 5000.000)",UC254*254*73,1009
64119c10-0000-7896-3136-373838373537,"(28800.000, 12000.000, 0.000)","(28800.000, 12000.000, 5000.000)",UC254*254*73,1008
64119c10-0000-7892-3136-373838373537,"(21600.000, 12000.000, 0.000)","(21600.000, 12000.000, 5000.000)",UC254*254*73,1007
64119c10-0000-788e-3136-373838373537,"(14400.000, 12000.000, 0.000)","(14400.000, 12000.000, 5000.000)",UC254*254*73,1006
64119c10-0000-788a-3136-373838373537,"(7200.000, 12000.000, 0.000)","(7200.000, 12000.000, 5000.000)",UC254*254*73,1005
64119c10-0000-7887-3136-373838373537,"(28800.000, 6000.000, 0.000)","(28800.000, 6000.000, 5000.000)",UC254*254*73,1004
64119c10-0000-7883-3136-373838373537,"(21600.000, 6000.000, 0.000)","(21600.000, 6000.000, 5000.000)",UC254*254*73,1003
64119c10-0000-787f-3136-373838373537,"(14400.000, 6000.000, 0.000)","(14400.000, 6000.000, 5000.000)",UC254*254*73,1002
64119c10-0000-787b-3136-373838373537,"(7200.000, 6000.000, 0.000)","(7200.000, 6000.000, 5000.000)",UC254*254*73,1001
